id,question,choices,answerKey
Mercury_7220990,Which factor will most likely cause a person to develop a fever?,"{'text': array(['a leg muscle relaxing after exercise',
       'a bacterial population in the bloodstream',
       'several viral particles on the skin',
       'carbohydrates being digested in the stomach'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",B
MCAS_2007_8_5189,Lichens are symbiotic organisms made of green algae and fungi. What do the green algae supply to the fungi in this symbiotic relationship?,"{'text': array(['carbon dioxide', 'food', 'protection', 'water'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",B
Mercury_SC_401169,"When a switch is used in an electrical circuit, the switch can","{'text': array(['cause the charge to build.', 'increase and decrease the voltage.',
       'cause the current to change direction.',
       'stop and start the flow of current.'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",D
MCAS_2004_8_27,Which of the following is an example of an assistive device?,"{'text': array(['contact lens', 'motorcycle', 'raincoat', 'coffee pot'],
      dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",A
NYSEDREGENTS_2006_8_10,"Rocks are classified as igneous, metamorphic, or sedimentary according to","{'text': array(['their color', 'their shape', 'how they formed',
       'the minerals they contain'], dtype=object), 'label': array(['1', '2', '3', '4'], dtype=object)}",3
Mercury_7013388,A chewable calcium carbonate tablet is a common treatment for stomach discomfort. Calcium carbonate is most likely used as this type of medicine because calcium carbonate,"{'text': array(['has a pleasant flavor.', 'is inexpensive to produce.',
       'neutralizes digestive acid.', 'occurs naturally in the body.'],
      dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",C
Mercury_7179953,Which two body systems are directly involved in movement?,"{'text': array(['muscular and skeletal', 'digestive and muscular',
       'skeletal and respiratory', 'respiratory and digestive'],
      dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",A
Mercury_7205118,Which change in the state of water particles causes the particles to become arranged in a fixed position?,"{'text': array(['boiling', 'melting', 'freezing', 'evaporating'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",C
MCAS_2016_8_13,Earth's core is primarily composed of which of the following materials?,"{'text': array(['basalt', 'iron', 'magma', 'quartz'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",B
Mercury_7283255,Which of the following events during meiosis contributes most to the variation within a species?,"{'text': array(['pairing of chromosomes', 'creation of haploid gametes',
       'segregation of alleles', 'separation of chromatids'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",C
