id,question,choices,answerKey,fact1,fact2,combinedfact,formatted_question
3E7TUJ2EGCLQNOV1WEAJ2NN9ROPD9K,What type of water formation is formed by clouds?,"{'text': array(['pearls', 'streams', 'shells', 'diamonds', 'rain', 'beads',
       'cooled', 'liquid'], dtype=object), 'label': array(['A', 'B', 'C', 'D', 'E', 'F', 'G', 'H'], dtype=object)}",F,beads of water are formed by water vapor condensing,Clouds are made of water vapor.,Beads of water can be formed by clouds.,What type of water formation is formed by clouds? (A) pearls (B) streams (C) shells (D) diamonds (E) rain (F) beads (G) cooled (H) liquid
3LS2AMNW5FPNJK3C3PZLZCPX562OQO,Where do beads of water come from?,"{'text': array(['Too much water', 'underground systems',
       'When the water is too cold', 'Water spills',
       'Vapor turning into a liquid', 'Warm air moving into cold air',
       'At the peak of a mountain',
       'To another location like underground'], dtype=object), 'label': array(['A', 'B', 'C', 'D', 'E', 'F', 'G', 'H'], dtype=object)}",E,beads of water are formed by water vapor condensing,Condensation is the change of water vapor to a liquid.,Vapor turning into a liquid leaves behind beads of water,Where do beads of water come from? (A) Too much water (B) underground systems (C) When the water is too cold (D) Water spills (E) Vapor turning into a liquid (F) Warm air moving into cold air (G) At the peak of a mountain (H) To another location like underground
3TMFV4NEP8DPIPCI8H9VUFHJG8V8W3,What forms beads of water? ,"{'text': array(['Necklaces.', 'Steam.', 'Glass beads .', 'a wave', 'tiny',
       'a solute', 'rain', 'Bracelets.'], dtype=object), 'label': array(['A', 'B', 'C', 'D', 'E', 'F', 'G', 'H'], dtype=object)}",B,beads of water are formed by water vapor condensing,An example of water vapor is steam.,Steam forms beads of water.,What forms beads of water?  (A) Necklaces. (B) Steam. (C) Glass beads . (D) a wave (E) tiny (F) a solute (G) rain (H) Bracelets.
3KRVW3HTZNKBWXXDID9D28FTU7NSM9,what kind of beads are formed from vapor condensing?,"{'text': array(['tiny', 'H20', 'h2o', 'carbon', 'hydrogen', 'rain', 'oxygen',
       'Dew'], dtype=object), 'label': array(['A', 'B', 'C', 'D', 'E', 'F', 'G', 'H'], dtype=object)}",C,beads of water are formed by water vapor condensing,Water is made up of H2O molecules.,h2o beads are formed by h2o vapor condensing,what kind of beads are formed from vapor condensing? (A) tiny (B) H20 (C) h2o (D) carbon (E) hydrogen (F) rain (G) oxygen (H) Dew
3TE3O8573079OET7T6QOXPWZ0MHR2T,what kind of beads are formed by their vapor condensing?,"{'text': array(['h2o', 'rain', 'tiny', 'H20', 'CO 2', 'blue', 'Aves', 'Dew'],
      dtype=object), 'label': array(['A', 'B', 'C', 'D', 'E', 'F', 'G', 'H'], dtype=object)}",A,beads of water are formed by water vapor condensing,Water is made up of H2O molecules.,beads of h2o are formed by h2o vapor condensing,what kind of beads are formed by their vapor condensing? (A) h2o (B) rain (C) tiny (D) H20 (E) CO 2 (F) blue (G) Aves (H) Dew
3TS1AR6UQQDJ7PL48N7PCRZO8H7F7N,What happens to the heat energy during condensation.,"{'text': array(['It goes to the remaining air molecules', 'Temperature changing',
       'they travel great distances', 'raising their temperature',
       'liquid precipitation', 'changing phenomenon',
       'Movement of an air mass', 'electrons in motion'], dtype=object), 'label': array(['A', 'B', 'C', 'D', 'E', 'F', 'G', 'H'], dtype=object)}",A,beads of water are formed by water vapor condensing,"When water vapor condenses, energy in the form of heat is given to the remaining air molecules.",When water vapor condenses heat energy goes to the remaining air molecules,What happens to the heat energy during condensation. (A) It goes to the remaining air molecules (B) Temperature changing (C) they travel great distances (D) raising their temperature (E) liquid precipitation (F) changing phenomenon (G) Movement of an air mass (H) electrons in motion
3TMFV4NEP8DPIPCI8H9VUFHJGXU8WG,Vapor doing what forms beads of liquid?,"{'text': array(['energy barrier', 'condensing', 'a solute', 'boiling',
       'unidirectional', 'motion', 'kinetic energy', 'evaporation'],
      dtype=object), 'label': array(['A', 'B', 'C', 'D', 'E', 'F', 'G', 'H'], dtype=object)}",B,beads of water are formed by water vapor condensing,"Water, for example, is a liquid.",beads of liquid are formed by vapor condensing,Vapor doing what forms beads of liquid? (A) energy barrier (B) condensing (C) a solute (D) boiling (E) unidirectional (F) motion (G) kinetic energy (H) evaporation
3FK0YFF9PZFAEC8QQ0F90RIDKNWVV3,Beads of water are formed when?,"{'text': array(['heat is produced', 'Temperature changing', 'forest is destroyed',
       'refract or absorb.', 'body temperature reduces', 'precipitation',
       'Movement of an air mass', 'during the chilling season'],
      dtype=object), 'label': array(['A', 'B', 'C', 'D', 'E', 'F', 'G', 'H'], dtype=object)}",H,beads of water are formed by water vapor condensing,Condensation of water vapor occurs during the chilling season.,Beads of water are formed during the chilling season,Beads of water are formed when? (A) heat is produced (B) Temperature changing (C) forest is destroyed (D) refract or absorb. (E) body temperature reduces (F) precipitation (G) Movement of an air mass (H) during the chilling season
3O7L7BFSHEOOQV24W3RGLY4XC6HIE3,Where is water likely to form beads?,"{'text': array(['aqueous solution', 'on cold surfaces', 'jungles of the sea',
       'colder weather', 'Evaporation', 'colder and wetter',
       'Wet weather', 'streams.'], dtype=object), 'label': array(['A', 'B', 'C', 'D', 'E', 'F', 'G', 'H'], dtype=object)}",B,beads of water are formed by water vapor condensing,Moisture builds up in the air and condenses wherever the surfaces are cold.,Water beads form on cold surfaces.,Where is water likely to form beads? (A) aqueous solution (B) on cold surfaces (C) jungles of the sea (D) colder weather (E) Evaporation (F) colder and wetter (G) Wet weather (H) streams.
3AAJC4I4FGRIW1D6A8QTI9KFA8JZJ1,Removing what from food will preserve it?,"{'text': array(['flavor', 'body water', 'heat energy', 'color', 'Water',
       'Bodily water', 'moisture', 'ingredients'], dtype=object), 'label': array(['A', 'B', 'C', 'D', 'E', 'F', 'G', 'H'], dtype=object)}",G,dehydrating food is used for preserving food,Dehydration preserves foods by removing moisture.,removing moisture from food preserves it.,Removing what from food will preserve it? (A) flavor (B) body water (C) heat energy (D) color (E) Water (F) Bodily water (G) moisture (H) ingredients
3WMINLGALB2UNFZSOOT8ECGBB3XCAT,What are two ways you can save food?,"{'text': array(['Fully cooking the oysters', 'Burning fuel and air',
       'Bread it and fry it', 'Water it down and drink it',
       'converting electricity to heat', 'lowered energy cost',
       'Dehydration and salting', 'Burn it and throw it away'],
      dtype=object), 'label': array(['A', 'B', 'C', 'D', 'E', 'F', 'G', 'H'], dtype=object)}",G,dehydrating food is used for preserving food,To preserve a food by salting.,You can save food with dehydration or salt. ,What are two ways you can save food? (A) Fully cooking the oysters (B) Burning fuel and air (C) Bread it and fry it (D) Water it down and drink it (E) converting electricity to heat (F) lowered energy cost (G) Dehydration and salting (H) Burn it and throw it away
3LQ8PUHQFLR0A5T6M4ZM611A12WIHZ,What does salting food do to it?,"{'text': array(['decrease stamina', 'evaporation', 'hydration', 'Preserves it',
       'Causes bacteria to spread', 'chemical changes',
       'Causes it to rot', 'Cooks it'], dtype=object), 'label': array(['A', 'B', 'C', 'D', 'E', 'F', 'G', 'H'], dtype=object)}",D,dehydrating food is used for preserving food,"Foods usually were covered with copious quantities of salt or saturated salt brine, and the salt was allowed to infuse into the tissue while dehydrating the product.",Salting food preserves it,What does salting food do to it? (A) decrease stamina (B) evaporation (C) hydration (D) Preserves it (E) Causes bacteria to spread (F) chemical changes (G) Causes it to rot (H) Cooks it
3NJM2BJS4W51AJ5UD7B54756AQUCP8,What can prevent food spoilage?,"{'text': array(['prolactin release', 'one celled organisms', 'hydrating food',
       'cleaning food', 'airing out food', 'Electric generators',
       'a hydraulic system', 'dehydrating food'], dtype=object), 'label': array(['A', 'B', 'C', 'D', 'E', 'F', 'G', 'H'], dtype=object)}",H,dehydrating food is used for preserving food,Preservatives Preservatives are required to prevent spoilage.,dehydrating food prevent spoilage.,What can prevent food spoilage? (A) prolactin release (B) one celled organisms (C) hydrating food (D) cleaning food (E) airing out food (F) Electric generators (G) a hydraulic system (H) dehydrating food
39LNWE0K4UV5FRZQM36LPGQ0VELUI7,What can be removed to preserve food?,"{'text': array(['water', 'nutrients', 'toxins', 'salt', 'A virus', 'sugar',
       'leeches', 'peat'], dtype=object), 'label': array(['A', 'B', 'C', 'D', 'E', 'F', 'G', 'H'], dtype=object)}",A,dehydrating food is used for preserving food,Dehydration is the removal of water.,Removing water preserves food. ,What can be removed to preserve food? (A) water (B) nutrients (C) toxins (D) salt (E) A virus (F) sugar (G) leeches (H) peat
33SA9F9TRXT6RQM9LKVVMPD5OAAEWK,Which of the following  has the most antioxidant benefits for the body?,"{'text': array(['preserved muskrat', 'preserved blueberries', 'antibiotics',
       'hamburger', 'hydrogen peroxide', 'prolactin release',
       'evaporation', 'Thyroid-stimulating hormone'], dtype=object), 'label': array(['A', 'B', 'C', 'D', 'E', 'F', 'G', 'H'], dtype=object)}",B,dehydrating food is used for preserving food,Blueberries retain their antioxidant benefits after dehydration.,Blueberries can be eaten as a preserved food still with antioxidant benefits,Which of the following  has the most antioxidant benefits for the body? (A) preserved muskrat (B) preserved blueberries (C) antibiotics (D) hamburger (E) hydrogen peroxide (F) prolactin release (G) evaporation (H) Thyroid-stimulating hormone
3RUIQRXJBBN4M2K2YSBXQ9M92Q1LLY,Dehydrating food is used to make it what?,"{'text': array(['last longer', 'survive', 'go bad', 'burn up', 'get started',
       'throw out', 'Relieve pain', 'dormant state'], dtype=object), 'label': array(['A', 'B', 'C', 'D', 'E', 'F', 'G', 'H'], dtype=object)}",A,dehydrating food is used for preserving food,"To keep cut flowers lasting longer, use a commercial florist preservative such as Floralife.",Dehydrating food is used to make it last longer.,Dehydrating food is used to make it what? (A) last longer (B) survive (C) go bad (D) burn up (E) get started (F) throw out (G) Relieve pain (H) dormant state
3MD9PLUKKIDEFR4RP6ILBG1WMVFZN5,Beef jerky is what?,"{'text': array(['low in protein content', 'wet', 'prone to spoilage', 'nutrients',
       'barrel-shaped', 'Relieve pain', 'preserved', 'layers of fat'],
      dtype=object), 'label': array(['A', 'B', 'C', 'D', 'E', 'F', 'G', 'H'], dtype=object)}",G,dehydrating food is used for preserving food,"Some food is dehydrated, while others are dried much like beef jerky.",beef jerky is preserved,Beef jerky is what? (A) low in protein content (B) wet (C) prone to spoilage (D) nutrients (E) barrel-shaped (F) Relieve pain (G) preserved (H) layers of fat
3SLE99ER0NCCEIFUMGDCKL125M2ZBD,How is food preserved?,"{'text': array(['liquid', 'moistness', 'hydration', 'bacteria', 'mold', 'heat',
       'Cooking', 'drying'], dtype=object), 'label': array(['A', 'B', 'C', 'D', 'E', 'F', 'G', 'H'], dtype=object)}",H,dehydrating food is used for preserving food,Food is then dehydrated in slow oven or dehydrator.,food is preserved by drying,How is food preserved? (A) liquid (B) moistness (C) hydration (D) bacteria (E) mold (F) heat (G) Cooking (H) drying
37XITHEISW8MMWL9QZFU925LB77CRN,Slow cooking food in an oven will cause it to be what?,"{'text': array(['staying warm', 'kinetic', 'dangerous', 'dry and hot', 'preserved',
       'dormant state', 'reduced heat', 'hydration'], dtype=object), 'label': array(['A', 'B', 'C', 'D', 'E', 'F', 'G', 'H'], dtype=object)}",E,dehydrating food is used for preserving food,Food is then dehydrated in slow oven or dehydrator.,slow cooking food in an oven can be done to preserve it,Slow cooking food in an oven will cause it to be what? (A) staying warm (B) kinetic (C) dangerous (D) dry and hot (E) preserved (F) dormant state (G) reduced heat (H) hydration
35GCEFQ6I5N7BNBH7NY6223QEC0Z3U,What is used to preserve food?,"{'text': array(['salt', 'Energy', 'oven', 'fats', 'sugar', 'sodium', 'marine',
       'bamboo'], dtype=object), 'label': array(['A', 'B', 'C', 'D', 'E', 'F', 'G', 'H'], dtype=object)}",C,dehydrating food is used for preserving food,Food is then dehydrated in slow oven or dehydrator.,food is preserved in a slow oven,What is used to preserve food? (A) salt (B) Energy (C) oven (D) fats (E) sugar (F) sodium (G) marine (H) bamboo
3Z4AIRP3C6CMWPXNJ1W2HO8I8YDX14,What is used to preserve food?,"{'text': array(['evaporation', 'Something from Nesco', 'white vinegar',
       'Calcium carbonate', 'salt and water.', 'layers of fat',
       'Exfoliation', 'adding heat'], dtype=object), 'label': array(['A', 'B', 'C', 'D', 'E', 'F', 'G', 'H'], dtype=object)}",B,dehydrating food is used for preserving food,Our Nesco Food Dehydrators require no tray rotation due to a patented air flow system.,Something from Nesco is used for preserving food,What is used to preserve food? (A) evaporation (B) Something from Nesco (C) white vinegar (D) Calcium carbonate (E) salt and water. (F) layers of fat (G) Exfoliation (H) adding heat
