premise,hypothesis,label
Pluto rotates once on its axis every 6.39 Earth days;,Earth rotates on its axis once times in one day.,0
"---Glenn ========================================================= Once per day, the earth rotates about its axis.",Earth rotates on its axis once times in one day.,1
geysers - periodic gush of hot water at the surface of the Earth.,The surface of the sun is much hotter than almost anything on earth.,0
Facts: Liquid water droplets can be changed into invisible water vapor through a process called evaporation .,Evaporation is responsible for changing liquid water into water vapor.,1
"By comparison, the earth rotates on its axis once per day and revolves around the sun once per year.",Earth rotates on its axis once times in one day.,1
"Pluto is about 39 times more distant from the Sun than is the Earth, and it takes about 250 Earth years for Pluto to make one complete revolution around the Sun.",Earth makes a complete revolution around the sun about once every year.,0
It takes Pluto 247.7 Earth years to make one revolution around the Sun.,Earth makes a complete revolution around the sun about once every year.,0
"Multicellular organisms that have a eukaryotic cell type, mitochondria and a complex nervous system.",Single-celled organisms and multicellular organisms have this in common: both have a way to get rid of waste materials.,0
"Distribution Water on earth is located primarily in the oceans (97.2%), polar caps (2.14%), ground water(0.61%), and surface water(0.009%).",Most of earth's water is located in oceans,1
"migratory birds which fly from South America to winter in Arctic Circle, where they",Many species of birds in new england fly south for the winter months to find an environment with more food.,0
"Younger children learn about different forms of energy, including heat, light and sound, though concrete activities.","Heat, light, and sound are all different forms of energy.",1
"When enough condensation forms, it will rain and water the plants.",Dew forming on plants during a cold night is an example of water condensing.,0
The photosynthesis of the past is what had stored the Sun's energy that ultimately produced coal;,"Coal is nonrenewable, and the sun is renewable is how coal and the sun compare as sources of energy.",0
"Around the liquid stor- age and liquid recovery systems, rain water runoff would be controlled by collection into a sump system.",Rain is an example of liquid water.,0
"In this last example, it isn't even loudness or sound at all that needs to be made.",The sound in a loud classroom is an example of a form of energy.,0
"When these winds are strong, they deflect moister air moving up from the Gulf coast and cold air masses moving down from the Arctic;",The best explanation for how air masses move across the united states is that the prevailing westerlies move air masses from west to east across the united states but may be deflected by the jet stream.,0
Evaporation : The process that changes water (liquid) into water vapor (gas).,Evaporation is responsible for changing liquid water into water vapor.,1
A long-day plant (a plant that flowers in the early summer in response to increasing day length) will be used to isolate the appropriate promoters.,A(n) increase in length happens to metal railroad tracks during the heat of a summer day.,0
Why do we find few or no human fossils in most sedimentary rock?,Most fossils are found in sedimentary rocks because organisms can be preserved in sedimentary rock.,0
"Even if you don't live near a stream or river (though most people do), there are many little things you can do to help prevent too much water and soil run-off from contaminating streams and rivers where anadromous fishes live: Keep your lawn vegetated.",People can help keep a forest a good place for birds to live by preventing too many trees from being cut down.,0
"MINERALS A mineral is any naturally-occurring, homogeneous solid that has a definite chemical composition and a distinctive internal crystal structure.",A mineral is described as a solid natural material with a crystal structure.,1
"Selfish Cells Threaten Multicellular Life, Trends in Ecology and Evolution Excerpt: How far have conflicts at the cell and organism level influenced the evolution of multicellularity?",Single-celled organisms and multicellular organisms have this in common: both have a way to get rid of waste materials.,0
Frogs replace them with lungs in the transition from tadpoles to adults.,A frog develops (a/an) lungs as it changes from a tadpole to an adult frog.,1
3) The earth is far enough from the sun so that its surface temperature isn't unbearably hot .,The surface of the sun is much hotter than almost anything on earth.,0
Solar system: the Sun and all bodies orbiting around it.,The largest body in our solar system is the sun.,0
The sun and stars appeared exactly as they do to us upon earth.,"From earth, the sun appears brighter than any other star because the sun is the closest star",0
"Indeed, these and most fungi are multicellular organisms made up of cells have cell walls, a typical plant characteristic.",Single-celled organisms and multicellular organisms have this in common: both have a way to get rid of waste materials.,0
"For example, active health is offered in every grade to teach students to monitor their own healthy habits such as nutrition, substance abuse and smoking.",Exercising every day is an example of a good health habit.,0
Identify her master traits and provide an example from the reading for each trait.,Being able to read is an example of a learned trait.,0
"On Titan, rain and clouds are most likely made up of liquid methane, not water.",Rain is an example of liquid water.,0
